"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Shadow Chandelure","Hex","Shadow Ball","23.034","510.4","49.97","3739"
"Mega Mewtwo Y","Confusion","Hyper Beam","23.023","908.3","57.7","6419"
"Mega Mewtwo Y","Confusion","Thunderbolt","23.018","908.1","57.69","6419"
"Shadow Regigigas","Hidden Power (Fire)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Fighting)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Water)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Flying)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Grass)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Poison)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Electric)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Ground)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Psychic)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Rock)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Ice)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Bug)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Dragon)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Ghost)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Dark)","Giga Impact","22.985","807.5","55.96","4972"
"Shadow Regigigas","Hidden Power (Steel)","Giga Impact","22.985","807.5","55.96","4972"
"Mega Charizard Y","Wing Attack","Blast Burn","22.942","831.1","56.28","5097"
"Mega Alakazam","Confusion","Shadow Ball","22.939","650.9","52.94","5160"
"Mega Alakazam","Confusion","Future Sight","22.9","649.8","52.85","5160"
"Mega Sceptile","Bullet Seed","Frenzy Plant","22.884","682.9","53.48","4640"
"Shadow Darmanitan","Fire Fang","Overheat","22.882","484.3","49.08","3552"
"Mega Blaziken","Counter","Overheat","22.872","681.2","53.43","4760"
"Mega Mewtwo X","Psycho Cut","Shadow Ball","22.861","901.9","57.3","6212"
"Mega Mewtwo Y","Confusion","Focus Blast","22.781","898.8","57.09","6419"
"Shadow Honchkrow","Snarl","Brave Bird","22.743","426.1","47.32","3102"
"Mega Gengar","Hex","Sludge Bomb","22.721","656.2","52.67","4960"
"Mega Garchomp","Dragon Tail","Earth Power","22.67","1083.5","59.61","6206"
"Shadow Blaziken","Counter","Blast Burn","22.665","479.5","48.61","3258"
"Shadow Alakazam","Confusion","Psychic","22.652","439.1","47.53","3498"
"Mega Blaziken","Fire Spin","Blaze Kick","22.647","674.5","52.91","4760"
"Mega Banette","Shadow Claw","Shadow Ball","22.623","556.3","50.38","4112"
"Shadow Salamence","Fire Fang","Outrage","22.594","631.9","51.96","4289"
"Shadow Mewtwo","Psycho Cut","Shadow Ball","22.59","674.3","52.8","4780"
"Mega Rayquaza","Dragon Tail","Aerial Ace","22.577","976","57.89","6535"
"Shadow Gengar","Hex","Shadow Ball","22.545","415.8","46.72","3292"
"Shadow Metagross","Zen Headbutt","Meteor Mash","22.522","742.3","53.96","4337"
"Shadow Kyogre","Waterfall","Origin Pulse","22.453","794.2","54.76","4708"
"Mega Garchomp","Dragon Tail","Earthquake","22.448","1072.8","59.02","6206"
"Shadow Moltres","Fire Spin","Sky Attack","22.418","645.4","51.93","3964"
"Shadow Groudon","Mud Shot","Precipice Blades","22.413","792.7","54.66","4708"
"Mega Mewtwo Y","Confusion","Flamethrower","22.389","883.3","56.11","6419"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Avalanche","22.382","608.2","51.1","4467"
"Primal Kyogre","Waterfall","Surf","22.379","1171.6","60.2","6752"
"Mega Alakazam","Confusion","Return","22.355","634.3","51.6","5160"
"Shadow Blaziken","Fire Spin","Blast Burn","22.355","473","47.95","3258"
"Mega Blaziken","Fire Spin","Overheat","22.353","665.8","52.22","4760"
"Shadow Gengar","Shadow Claw","Sludge Bomb","22.348","412.2","46.31","3292"
"Shadow Rampardos","Smack Down","Outrage","22.331","428.7","46.74","3773"
"Shadow Alakazam","Psycho Cut","Psychic","22.322","432.7","46.84","3498"
"Shadow Staraptor","Quick Attack","Fly","22.316","487.4","48.24","3232"
"Mewtwo","Confusion","Psystrike","22.306","798.9","54.57","4780"
"Mega Mewtwo X","Confusion","Hyper Beam","22.289","879.4","55.86","6212"
"Mega Mewtwo X","Confusion","Thunderbolt","22.284","879.2","55.85","6212"
"Mega Charizard Y","Air Slash","Blast Burn","22.279","807","54.66","5097"
"Shadow Gengar","Lick","Sludge Bomb","22.252","410.5","46.12","3292"
"Calyrex - Shadow Rider","Confusion","Psychic","22.242","811.9","54.67","5194"
"Mega Charizard Y","Ember","Blast Burn","22.24","805.6","54.56","5097"
"Mewtwo","Psycho Cut","Psystrike","22.237","796.4","54.4","4780"
"Shadow Dragonite","Dragon Tail","Outrage","22.232","701.8","52.7","4338"
"Ash Greninja","Feint Attack","Surf","22.202","572.3","50.03","4557"
"Shadow Garchomp","Dragon Tail","Outrage","22.19","775.6","53.95","4532"
"Mega Blaziken","Counter","Brave Bird","22.177","660.5","51.81","4760"
"Shadow Rampardos","Zen Headbutt","Rock Slide","22.174","425.7","46.41","3773"
"Mega Latios","Dragon Breath","Psychic","22.165","923.5","56.31","5729"
"Mega Alakazam","Psycho Cut","Future Sight","22.144","628.4","51.11","5160"
"Mega Alakazam","Psycho Cut","Shadow Ball","22.142","628.3","51.1","5160"
"Shadow Crawdaunt","Snarl","Crabhammer","22.142","402.5","45.72","2830"
"Blacephalon","Incinerate","Shadow Ball","22.138","449.8","47","3772"
"Shadow Staraptor","Gust","Fly","22.125","483.3","47.83","3232"
"Mega Gardevoir","Confusion","Psychic","22.071","786.7","53.93","5162"
"Mega Heracross","Counter","Megahorn","22.07","854.9","55.06","5508"
"Mega Mewtwo Y","Confusion","Ice Beam","22.07","870.7","55.31","6419"
"Mega Gallade","Confusion","Psychic","22.067","789.8","53.98","5173"
"Mega Blaziken","Counter","Focus Blast","22.059","657","51.53","4760"
"Ash Greninja","Bubble","Surf","22.054","568.5","49.69","4557"
"Shadow Gengar","Sucker Punch","Shadow Ball","22.042","406.6","45.68","3292"
"Shadow Chandelure","Fire Spin","Overheat","22.019","487.9","47.77","3739"
"Mega Gengar","Sucker Punch","Sludge Bomb","22.017","635.9","51.04","4960"
"Shadow Tyranitar","Bite","Brutal Swing","22.012","775.9","53.64","4387"
"Mega Alakazam","Counter","Shadow Ball","21.96","623.1","50.68","5160"
"Shadow Latios","Dragon Breath","Psychic","21.935","675.3","51.67","4362"
"Mega Garchomp","Mud Shot","Outrage","21.928","1048","57.65","6206"
"Mega Rayquaza","Air Slash","Hurricane","21.923","947.7","56.21","6535"
"Mega Banette","Hex","Shadow Ball","21.915","538.9","48.8","4112"
"Shadow Mewtwo","Confusion","Thunderbolt","21.908","653.9","51.21","4780"
"Shadow Moltres","Wing Attack","Sky Attack","21.895","630.3","50.72","3964"
"Shadow Salamence","Bite","Outrage","21.889","612.2","50.34","4289"
"Shadow Excadrill","Metal Claw","Scorching Sands","21.876","535.6","48.66","3711"
"Mega Metagross","Bullet Punch","Meteor Mash","21.873","1082.2","58.01","5618"
"Palkia (Origin Forme)","Dragon Tail","Spacial Rend","21.866","842.9","54.48","4739"
"Shadow Groudon","Dragon Tail","Precipice Blades","21.864","773.3","53.32","4708"
"Shadow Dragonite","Dragon Tail","Draco Meteor","21.857","689.9","51.81","4338"
"Shadow Excadrill","Mud Slap","Scorching Sands","21.852","535","48.61","3711"
"Shadow Honchkrow","Peck","Sky Attack","21.834","409.1","45.43","3102"
"Primal Kyogre","Waterfall","Hydro Pump","21.824","1142.5","58.7","6752"
"Shadow Alakazam","Counter","Psychic","21.817","422.9","45.78","3498"
"Mega Mewtwo Y","Psycho Cut","Hyper Beam","21.804","860.2","54.65","6419"
"Mega Diancie","Rock Throw","Rock Slide","21.803","657.8","51.1","4972"
"Pheromosa","Bug Bite","Bug Buzz","21.792","327","42.89","3251"
"Mega Mewtwo Y","Psycho Cut","Thunderbolt","21.768","858.8","54.56","6419"
"Deoxys (Attack Forme)","Zen Headbutt","Zap Cannon","21.729","160","35.79","2951"
"Shadow Tyranitar","Smack Down","Brutal Swing","21.728","765.9","52.94","4387"
"Mega Alakazam","Counter","Future Sight","21.724","616.4","50.14","5160"
"Kartana","Razor Leaf","Leaf Blade","21.71","522.9","48.09","4206"
"Shadow Mewtwo","Confusion","Hyper Beam","21.696","647.6","50.71","4780"
"Shadow Staraptor","Wing Attack","Fly","21.692","473.8","46.9","3232"
"Shadow Mamoswine","Mud Slap","Avalanche","21.691","593.8","49.62","3808"
"Mega Gardevoir","Charm","Psychic","21.682","772.8","52.98","5162"
"Mega Mewtwo X","Confusion","Flamethrower","21.676","855.2","54.32","6212"
"Mega Gallade","Psycho Cut","Psychic","21.659","775.2","52.98","5173"
"Mega Sceptile","Fury Cutter","Leaf Blade","21.657","646.3","50.62","4640"
"Galarian Darmanitan (Zen Mode)","Tackle","Avalanche","21.626","587.6","49.38","4467"
"Shadow Garchomp","Dragon Tail","Earth Power","21.624","755.8","52.58","4532"
"Shadow Dragonite","Dragon Breath","Outrage","21.614","682.3","51.23","4338"
"Mega Charizard Y","Fire Spin","Overheat","21.609","782.8","53.01","5097"
"Black Kyurem","Dragon Tail","Outrage","21.598","882.7","54.61","5268"
"Shadow Electivire","Thunder Shock","Wild Charge","21.59","498.4","47.32","3523"
"Mega Tyranitar","Bite","Brutal Swing","21.587","1197","58.91","6118"
"Mega Latios","Zen Headbutt","Psychic","21.586","899.4","54.84","5729"
"Mega Blaziken","Fire Spin","Brave Bird","21.577","642.7","50.41","4760"
"Mega Gardevoir","Confusion","Dazzling Gleam","21.563","768.6","52.69","5162"
"Aegislash - Blade","Fury Cutter","Shadow Ball","21.55","325.8","42.49","3017"
"Mega Swampert","Water Gun","Hydro Cannon","21.548","956.7","55.62","5035"
"Mega Alakazam","Confusion","Dazzling Gleam","21.524","610.8","49.68","5160"
"Shadow Rampardos","Smack Down","Flamethrower","21.524","413.2","45.05","3773"
"Mega Blaziken","Fire Spin","Focus Blast","21.518","640.9","50.27","4760"
"Shadow Salamence","Fire Fang","Draco Meteor","21.506","601.5","49.46","4289"
"Mega Gengar","Shadow Claw","Psychic","21.48","620.4","49.8","4960"
"Mega Charizard Y","Dragon Breath","Blast Burn","21.479","778.1","52.69","5097"
"Shadow Mewtwo","Confusion","Focus Blast","21.473","640.9","50.19","4780"
"Shadow Darmanitan","Incinerate","Overheat","21.472","454.5","46.06","3552"
"Mega Mewtwo Y","Psycho Cut","Focus Blast","21.457","846.5","53.77","6419"
"Shadow Weavile","Snarl","Avalanche","21.437","493.3","46.95","3438"
"Shadow Staraptor","Sand Attack","Fly","21.427","468","46.32","3232"
"Mega Swampert","Mud Shot","Hydro Cannon","21.426","951.2","55.31","5035"
"Deoxys (Attack Forme)","Poison Jab","Zap Cannon","21.369","157.3","35.2","2951"
"Dialga (Origin Forme)","Metal Claw","Roar of Time","21.367","895.7","54.37","4679"
"Mega Mewtwo X","Confusion","Ice Beam","21.366","843","53.55","6212"
"Shadow Latios","Zen Headbutt","Psychic","21.358","657.6","50.31","4362"
"Enamorus (Incarnate Forme)","Fairy Wind","Fly","21.356","582.2","48.8","3919"
"Mega Tyranitar","Smack Down","Brutal Swing","21.308","1181.5","58.15","6118"
"Hoopa (Unbound)","Confusion","Psychic","21.303","655","50.16","4584"
"Shadow Gengar","Hex","Sludge Bomb","21.302","392.9","44.15","3292"
"Blacephalon","Astonish","Shadow Ball","21.293","432.6","45.21","3772"
"Shadow Mewtwo","Confusion","Flamethrower","21.29","635.5","49.76","4780"
"Mega Diancie","Rock Throw","Power Gem","21.285","642.1","49.88","4972"
"Mega Rayquaza","Air Slash","Aerial Ace","21.275","919.7","54.55","6535"
"Mega Gardevoir","Charm","Dazzling Gleam","21.267","758","51.96","5162"
"Mega Alakazam","Confusion","Focus Blast","21.244","602.8","49.03","5160"
"Mega Latios","Dragon Breath","Luster Purge","21.221","884.2","53.91","5729"
"Mega Salamence","Dragon Tail","Outrage","21.199","1034.2","56.03","5756"
"Shadow Garchomp","Dragon Tail","Earthquake","21.198","740.9","51.54","4532"
"Mega Metagross","Zen Headbutt","Meteor Mash","21.196","1048.7","56.21","5618"
"Mega Garchomp","Mud Shot","Earth Power","21.192","1012.8","55.72","6206"
"Shadow Kyogre","Waterfall","Surf","21.185","749.3","51.66","4708"
"Shadow Blaziken","Counter","Blaze Kick","21.183","448.2","45.43","3258"
"Shadow Dragonite","Dragon Tail","Dragon Claw","21.171","668.3","50.18","4338"
"Mega Gardevoir","Magical Leaf","Psychic","21.164","754.4","51.71","5162"
"Mega Salamence","Dragon Tail","Draco Meteor","21.163","1032.4","55.93","5756"
"Mega Gallade","Low Kick","Psychic","21.162","757.4","51.76","5173"
"Mega Beedrill","Bug Bite","Sludge Bomb","21.158","487.4","46.35","3870"
"Pheromosa","Low Kick","Bug Buzz","21.151","317.4","41.63","3251"
"Xurkitree","Thunder Shock","Discharge","21.151","560.7","47.99","4504"
"Ash Greninja","Feint Attack","Hydro Pump","21.142","545","47.64","4557"
"Mega Heracross","Counter","Close Combat","21.139","818.8","52.74","5508"
"Primal Groudon","Dragon Tail","Earthquake","21.137","1106.6","56.86","6752"
"Mega Gardevoir","Confusion","Synchronoise","21.128","753.1","51.62","5162"
"Mega Gallade","Confusion","Synchronoise","21.124","756","51.67","5173"
"Mega Mewtwo X","Psycho Cut","Hyper Beam","21.12","833.2","52.93","6212"
"Palkia (Origin Forme)","Dragon Breath","Spacial Rend","21.118","814","52.62","4739"
"Blacephalon","Incinerate","Mystical Fire","21.116","429","44.83","3772"
"Shadow Darmanitan","Fire Fang","Psychic","21.112","446.9","45.28","3552"
"Shadow Chandelure","Fire Spin","Poltergeist","21.1","467.5","45.78","3739"
"Shadow Chandelure","Incinerate","Overheat","21.093","467.4","45.76","3739"
"Mega Mewtwo X","Psycho Cut","Thunderbolt","21.084","831.8","52.84","6212"
"Shadow Rhyperior","Mud Slap","Rock Wrecker","21.081","760.5","51.67","4271"
"Shadow Sceptile","Fury Cutter","Frenzy Plant","21.064","479.5","46.01","3154"
"Xurkitree","Spark","Discharge","21.058","558.2","47.78","4504"
"Shadow Garchomp","Mud Shot","Outrage","21.043","735.5","51.17","4532"
"Shadow Dragonite","Dragon Breath","Draco Meteor","21.037","664.1","49.87","4338"
"Shadow Excadrill","Mud Shot","Scorching Sands","21.026","514.8","46.77","3711"
"Mega Beedrill","Poison Jab","Sludge Bomb","21.022","484.2","46.05","3870"
"Primal Groudon","Mud Shot","Earthquake","21.02","1100.4","56.54","6752"
"Mega Alakazam","Counter","Return","21.016","596.4","48.51","5160"
"Aegislash - Blade","Psycho Cut","Shadow Ball","21.005","317.5","41.42","3017"
"Shadow Alakazam","Confusion","Shadow Ball","21.002","407.2","44.07","3498"
"Shadow Mewtwo","Confusion","Ice Beam","20.975","626","49.03","4780"
"Shadow Staraptor","Quick Attack","Brave Bird","20.973","458.1","45.34","3232"
"Mega Gengar","Lick","Psychic","20.936","604.7","48.53","4960"
"Shadow Moltres","Fire Spin","Overheat","20.931","602.6","48.48","3964"
"Mega Charizard Y","Wing Attack","Overheat","20.929","758.1","51.35","5097"
"Shadow Machamp","Counter","Dynamic Punch","20.927","534.8","47.05","3496"
"Mega Mewtwo Y","Psycho Cut","Flamethrower","20.921","825.4","52.43","6419"
"Mega Alakazam","Psycho Cut","Return","20.912","593.4","48.26","5160"
"Shadow Dragonite","Steel Wing","Outrage","20.884","659.2","49.5","4338"
"Shadow Metagross","Bullet Punch","Psychic","20.882","688.2","50.03","4337"
"Black Kyurem","Dragon Tail","Blizzard","20.875","853.2","52.78","5268"
"Mega Latios","Dragon Breath","Dragon Claw","20.856","869","52.99","5729"
"Mega Sceptile","Bullet Seed","Leaf Blade","20.852","622.2","48.74","4640"
"Mega Gengar","Shadow Claw","Focus Blast","20.848","602.2","48.33","4960"
"Mega Gardevoir","Charm","Synchronoise","20.843","742.9","50.93","5162"
"Mega Gengar","Shadow Claw","Sludge Wave","20.84","601.9","48.31","4960"
"Mega Mewtwo Y","Psycho Cut","Ice Beam","20.835","822","52.22","6419"
"Shadow Rampardos","Zen Headbutt","Outrage","20.821","399.7","43.58","3773"
"Shadow Latios","Dragon Breath","Luster Purge","20.818","641","49.04","4362"
"Shadow Mewtwo","Psycho Cut","Thunderbolt","20.806","621","48.63","4780"
"Ash Greninja","Bubble","Hydro Pump","20.801","536.2","46.87","4557"
"Deoxys (Attack Forme)","Zen Headbutt","Psycho Boost","20.785","153","34.24","2951"
"Mewtwo","Confusion","Psychic","20.784","744.4","50.84","4780"
"Shadow Blaziken","Fire Spin","Blaze Kick","20.779","439.6","44.57","3258"
"Shadow Raikou","Thunder Shock","Wild Charge","20.775","640.8","48.96","3949"
"Shadow Gengar","Sucker Punch","Sludge Bomb","20.77","383.1","43.04","3292"
"Shadow Mamoswine","Powder Snow","Avalanche","20.763","568.4","47.49","3808"
"Shadow Weavile","Snarl","Triple Axel","20.76","477.7","45.47","3438"
"Mega Diancie","Rock Throw","Moonblast","20.729","625.4","48.58","4972"
"Shadow Mamoswine","Mud Slap","High Horsepower","20.726","567.4","47.41","3808"
"Shadow Chandelure","Hex","Overheat","20.717","459","44.95","3739"
"Terrakion","Double Kick","Sacred Sword","20.715","762.6","51.02","4231"
"Mega Gardevoir","Magical Leaf","Dazzling Gleam","20.702","737.9","50.58","5162"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Overheat","20.685","562","47.23","4467"
"Pheromosa","Bug Bite","Focus Blast","20.674","310.2","40.69","3251"
"Reshiram","Fire Fang","Fusion Flare","20.662","815.6","51.79","4620"
"Shadow Excadrill","Mud Slap","Drill Run","20.653","505.7","45.94","3711"
"Shadow Empoleon","Metal Claw","Hydro Cannon","20.65","582.2","47.58","3318"
"Shadow Alakazam","Confusion","Future Sight","20.644","400.2","43.32","3498"
"Shadow Infernape","Fire Spin","Blast Burn","20.642","448.9","44.58","3070"
"Shadow Latios","Dragon Breath","Dragon Claw","20.639","635.4","48.62","4362"
"Deoxys (Attack Forme)","Poison Jab","Psycho Boost","20.638","151.9","33.99","2951"
"Mega Alakazam","Counter","Dazzling Gleam","20.638","585.6","47.63","5160"
"Mega Manectric","Thunder Fang","Wild Charge","20.624","594","47.78","4096"
"Shadow Salamence","Dragon Tail","Hydro Pump","20.609","576.4","47.39","4289"
"Shadow Rhyperior","Smack Down","Rock Wrecker","20.605","743.4","50.5","4271"
"Dialga (Origin Forme)","Dragon Breath","Roar of Time","20.595","863.3","52.4","4679"
"Shadow Honchkrow","Peck","Brave Bird","20.595","385.9","42.85","3102"
"Shadow Weavile","Feint Attack","Avalanche","20.595","473.9","45.11","3438"
"Shadow Zapdos","Thunder Shock","Drill Peck","20.593","604.9","47.94","4035"
"Mega Charizard Y","Fire Spin","Flamethrower","20.592","745.9","50.52","5097"
"Shadow Excadrill","Metal Claw","Drill Run","20.585","504","45.79","3711"
"Shadow Machamp","Karate Chop","Dynamic Punch","20.57","525.7","46.25","3496"
"Shadow Mewtwo","Psycho Cut","Hyper Beam","20.567","613.9","48.07","4780"
"Shadow Blaziken","Counter","Overheat","20.555","434.9","44.08","3258"
"Mega Alakazam","Psycho Cut","Dazzling Gleam","20.537","582.8","47.4","5160"
"Shadow Haunter","Lick","Shadow Ball","20.536","237","37.85","2246"
"Primal Kyogre","Waterfall","Blizzard","20.531","1074.8","55.23","6752"
"Shadow Empoleon","Steel Wing","Hydro Cannon","20.53","578.8","47.31","3318"
"Shadow Salamence","Bite","Draco Meteor","20.529","574.1","47.21","4289"
"Shadow Staraptor","Gust","Brave Bird","20.524","448.3","44.37","3232"
"Shadow Charizard","Fire Spin","Blast Burn","20.523","513.1","45.89","3305"
"Mega Gardevoir","Confusion","Shadow Ball","20.515","731.2","50.13","5162"
"Mega Gallade","Psycho Cut","Synchronoise","20.496","733.6","50.13","5173"
"Shadow Excadrill","Metal Claw","Earthquake","20.496","501.8","45.59","3711"
"Mega Beedrill","Infestation","Sludge Bomb","20.491","472","44.89","3870"
"Shadow Haunter","Shadow Claw","Shadow Ball","20.467","236.2","37.73","2246"
"Shadow Raikou","Volt Switch","Wild Charge","20.467","631.3","48.23","3949"
"Shadow Kyogre","Waterfall","Hydro Pump","20.461","723.7","49.9","4708"
"Shadow Metagross","Zen Headbutt","Psychic","20.443","673.8","48.98","4337"
"Shadow Dragonite","Dragon Tail","Hurricane","20.442","645.3","48.45","4338"
"Mewtwo","Psycho Cut","Psychic","20.44","732.1","50","4780"
"Shadow Excadrill","Mud Slap","Earthquake","20.438","500.4","45.46","3711"
"Shadow Dragonite","Dragon Breath","Dragon Claw","20.416","644.5","48.39","4338"
"Mega Heracross","Counter","Earthquake","20.408","790.5","50.91","5508"
"Shadow Crawdaunt","Waterfall","Crabhammer","20.408","371","42.14","2830"
"Shadow Entei","Fire Fang","Overheat","20.403","667.9","48.8","3973"
"Mega Garchomp","Mud Shot","Earthquake","20.392","974.6","53.62","6206"
"Shadow Alakazam","Psycho Cut","Shadow Ball","20.38","395.1","42.76","3498"
"Xurkitree","Thunder Shock","Power Whip","20.378","540.2","46.24","4504"
"Black Kyurem","Shadow Claw","Outrage","20.37","832.6","51.51","5268"
"Mega Lucario","Counter","Shadow Ball","20.338","573.7","46.87","4377"
"Shadow Weavile","Snarl","Foul Play","20.337","468","44.54","3438"
"Primal Groudon","Dragon Tail","Fire Blast","20.334","1064.5","54.7","6752"
"Shadow Tyranitar","Iron Tail","Brutal Swing","20.332","716.7","49.54","4387"
"Shadow Garchomp","Mud Shot","Earth Power","20.325","710.4","49.42","4532"
"Mega Gardevoir","Charm","Shadow Ball","20.319","724.3","49.65","5162"
"Shadow Dragonite","Dragon Tail","Dragon Pulse","20.307","641","48.13","4338"
"Kartana","Air Slash","Leaf Blade","20.306","489.1","44.99","4206"
"Mega Charizard Y","Air Slash","Overheat","20.305","735.5","49.81","5097"
"Shadow Darmanitan","Incinerate","Psychic","20.305","429.8","43.55","3552"
"Shadow Darmanitan","Tackle","Overheat","20.283","429.3","43.51","3552"
"Shadow Zapdos","Thunder Shock","Thunderbolt","20.281","595.8","47.22","4035"
"Shadow Moltres","Wing Attack","Overheat","20.28","583.8","46.98","3964"
"Xurkitree","Spark","Power Whip","20.271","537.4","46","4504"
"Galarian Darmanitan (Zen Mode)","Tackle","Overheat","20.265","550.6","46.27","4467"
"Mega Mewtwo X","Psycho Cut","Flamethrower","20.264","799.5","50.79","6212"
