Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Nincada,73.8,290,bug,ground,57.2,94,81,435660,26,499,Bug Bite,Aerial Ace,Bug Buzz,15,20,5,75000
Chinchou,73.7,170,water,electric,61.5,60.9,108,404393,17.5,500,Spark,Thunderbolt,Bubble Beam,8,6,3,50000
Dondozo,73.7,977,water,none,60.4,63.1,109,415049,6.5,500,Waterfall,Hydro Pump,Liquidation,10,6,5,75000
Geodude (Alolan) (Shadow),73.7,74,rock,electric,69.7,74.8,68,354383,14.5,499,Rock Throw,Frustration,Rock Slide,14,9,1,10000
Munchlax,73.7,446,normal,none,59.6,55.8,126,418617,10,500,Lick,Body Slam,Bulldoze,12,15,5,10000
Nidoran Male,73.7,32,poison,none,69.1,57,91,358433,22.5,499,Peck,Body Slam,Horn Attack,5,5,3,50000
Skorupi,73.7,451,poison,bug,57.2,96.2,79,434636,19.5,500,Infestation,Aqua Tail,Cross Poison,3,3,5,75000
Snubbull (Shadow),73.7,209,fairy,none,74.2,51.5,88,336360,15.5,500,Bite,Brick Break,Crunch,20,23,3,50000
Spinarak,73.7,167,bug,poison,71.3,56.3,87,349284,24,499,Bug Bite,Cross Poison,Night Slash,12,12,1,10000
Sylveon,73.7,700,fairy,none,69,70.6,74,360861,6,499,Charm,Dazzling Gleam,Draining Kiss,7,7,5,75000
Umbreon,73.7,197,dark,none,51.9,100.7,92,481184,9,500,Feint Attack,Dark Pulse,Foul Play,9,7,5,75000
Cetoddle,73.5,974,ice,none,63.1,48.3,129,393243,14.5,498,Ice Shard,Avalanche,Body Slam,5,4,3,50000
Dubwool,73.5,832,normal,none,64.3,81.8,74,389379,8.5,500,Double Kick,Body Slam,Payback,3,5,3,10000
Fletchling (Shadow),73.5,661,normal,flying,65.4,62.2,93,378391,24,499,Peck,Aerial Ace,Fly,6,6,1,10000
Snorunt,73.5,361,ice,none,62,68.9,94,401875,22,500,Hex,Avalanche,Icy Wind,4,4,3,50000
Weedle (Shadow),73.5,13,bug,poison,63.9,54.6,112,390673,50,500,Bug Bite,Frustration,Struggle,24,34,1,10000
Altaria (Shadow),73.4,334,dragon,flying,59.6,88.8,79,418352,9.5,500,Dragon Breath,Dazzling Gleam,Dragon Pulse,14,14,1,10000
Barboach (Shadow),73.4,339,water,ground,63.5,62.8,98,390844,24,500,Mud Shot,Mud Bomb,Aqua Tail,5,5,1,10000
Dratini (Shadow),73.4,147,dragon,none,71.6,61.1,79,345926,19,498,Dragon Breath,Aqua Tail,Frustration,9,18,5,75000
Golbat (Shadow),73.4,42,poison,flying,67.8,67.4,80,366025,9.5,500,Bite,Air Cutter,Frustration,18,35,1,10000
Graveler (Alolan) (Shadow),73.4,75,rock,electric,71,73.9,67,351622,10,500,Rock Throw,Frustration,Rock Blast,14,8,1,10000
Inkay,73.4,686,dark,psychic,62.4,67.3,95,399432,21,500,Peck,Night Slash,Psybeam,5,8,3,50000
Pineco,73.4,204,bug,none,62.3,74.8,86,401102,18,500,Bug Bite,Gyro Ball,Rock Tomb,17,17,5,75000
Roggenrola (Shadow),73.4,524,rock,none,66.8,65.7,85,373158,16,500,Smack Down,Bulldoze,Frustration,6,9,3,50000
Whirlipede,73.4,544,bug,poison,57,105.1,73,437161,17.5,499,Bug Bite,Gyro Ball,Signal Beam,17,19,1,10000
Drifblim (Shadow),73.2,426,ghost,flying,69,43.9,119,360710,8,499,Astonish,Frustration,Icy Wind,7,5,5,75000
Kakuna,73.2,14,bug,poison,51.3,75.6,120,465181,50,488,Bug Bite,Return,Struggle,24,34,1,10000
Venipede (Shadow),73.2,543,bug,poison,62,79.2,82,402755,28.5,499,Bug Bite,Frustration,Gyro Ball,24,17,1,10000
Drifblim,73.1,426,ghost,flying,69,43.9,119,360710,8,499,Astonish,Icy Wind,Mystical Fire,5,5,5,75000
Meowth (Alolan),73.1,52,dark,none,68.1,60.8,88,364585,24.5,500,Bite,Dark Pulse,Foul Play,25,20,3,50000
Mudsdale,73.1,750,ground,none,73.2,60.7,77,342085,6,500,Mud Slap,Body Slam,Bulldoze,4,5,3,50000
Steelix (Shadow),72.9,208,steel,ground,57,105.4,73,439016,8,500,Dragon Tail,Breaking Swipe,Crunch,5,4,5,75000
Cascoon,72.8,268,bug,none,52.3,73.6,124,477686,45.5,500,Bug Bite,Struggle,,34,0,1,10000
Silcoon,72.8,266,bug,none,52.3,73.6,124,477686,45.5,500,Bug Bite,Struggle,,34,0,1,10000
Burmy (Plant),72.6,412,bug,none,52.1,81.5,113,479856,50,500,Bug Bite,Struggle,,34,0,1,10000
Burmy (Sandy),72.6,412,bug,none,52.1,81.5,113,479856,50,500,Bug Bite,Struggle,,34,0,1,10000
Burmy (Trash),72.6,412,bug,none,52.1,81.5,113,479856,50,500,Bug Bite,Struggle,,34,0,1,10000
Nymble,72.6,919,bug,none,65.7,61.1,94,377348,37,498,Bug Bite,Bug Buzz,Trailblaze,20,15,1,50000
Quagsire (Shadow),72.6,195,water,ground,64.1,65,93,387576,9.5,500,Mud Shot,Acid Spray,Aqua Tail,6,5,3,50000
Sealeo (Shadow),72.6,364,ice,water,62.9,65.1,97,397554,11,500,Powder Snow,Aurora Beam,Body Slam,8,5,3,50000
Fidough,72.5,926,fairy,none,62.5,83.2,76,395255,19.5,497,Bite,Body Slam,Play Rough,18,30,3,50000
Turtonator,72.5,776,fire,dragon,65.5,89.1,65,379558,8.5,500,Ember,Brutal Swing,Dragon Claw,4,6,5,75000
Ducklett (Shadow),72.3,580,water,flying,56.4,71.1,110,441005,23,499,Wing Attack,Brave Bird,Aerial Ace,8,7,3,50000
Tropius,72.3,357,grass,flying,59.2,72.2,99,423071,10,500,Air Slash,Aerial Ace,Brutal Swing,5,4,5,75000
Venipede,72.3,543,bug,poison,61.3,81.3,82,408886,28.5,500,Bug Bite,Gyro Ball,Return,17,24,1,10000
Venomoth,72.3,49,bug,poison,73.1,62.7,74,339439,9,500,Bug Bite,Bug Buzz,Poison Fang,20,14,3,50000
Machop,72.2,66,fighting,none,73,49.2,95,340650,15,500,Karate Chop,Brick Break,Cross Chop,5,4,3,50000
Caterpie (Shadow),72,10,bug,none,58.8,58.8,120,415189,50,494,Bug Bite,Frustration,Struggle,24,34,1,10000
Fearow,72,22,normal,flying,76.5,60,71,325999,9.5,499,Peck,Aerial Ace,Drill Peck,6,5,1,10000
Celesteela,71.9,797,steel,flying,69.4,68.7,75,357418,6,498,Air Slash,Body Slam,Bulldoze,4,5,20,100000
Steelix,71.9,208,steel,ground,57,105.4,73,439016,8,500,Dragon Tail,Breaking Swipe,Crunch,5,4,5,75000
Yamper,71.9,835,electric,none,56.1,70.1,112,440711,25,497,Bite,Crunch,Thunder,23,30,1,50000
Cyndaquil,71.7,155,fire,none,71.4,63.7,77,350138,19.5,500,Ember,Swift,Flame Charge,4,6,3,10000
Diancie,71.7,719,rock,fairy,67.8,100.6,50,340946,6.5,483,Rock Throw,Moonblast,Power Gem,12,10,20,100000
Bellibolt,71.6,939,electric,none,67,62.5,89,373013,7,500,Sucker Punch,Discharge,Parabolic Charge,6,7,1,50000
Carracosta,71.6,565,water,rock,71,73.9,67,351946,7.5,500,Rock Throw,Ancient Power,Body Slam,9,7,5,75000
Corsola,71.6,222,water,rock,61,84.5,79,406975,14,499,Bubble,Bubble Beam,Power Gem,4,5,3,50000
Machop (Shadow),71.6,66,fighting,none,73,49.2,95,340650,15,500,Karate Chop,Brick Break,Cross Chop,5,4,3,50000
Yamask,71.6,562,ghost,none,59.1,91.4,78,421650,20,500,Astonish,Dark Pulse,Ominous Wind,5,5,3,50000
Dewott (Shadow),71.4,502,water,none,72.2,57.6,83,345324,11,500,Fury Cutter,Aqua Tail,Frustration,9,18,3,10000
Fennekin,71.4,653,fire,none,69.9,66.4,77,357140,19,500,Ember,Psyshock,Flame Charge,5,6,3,10000
Geodude (Alolan),71.4,74,rock,electric,69.3,76.1,68,358570,15,499,Rock Throw,Rock Slide,Rock Tomb,9,10,1,10000
Roggenrola,71.3,524,rock,none,65.7,66.8,86,377548,16,498,Smack Down,Bulldoze,Rock Blast,6,5,3,50000
Snubbull,71.3,209,fairy,none,74.2,51.5,88,336360,15.5,500,Bite,Brick Break,Crunch,20,23,3,50000
Litwick,71.1,607,ghost,fire,66.1,64.3,89,378071,19.5,499,Astonish,Mystical Fire,Flame Charge,5,5,5,75000
